[2025-07-10 14:19:34.717]  mA
[2025-07-10 14:20:01.361] Set: 44 V,  HV: 1 V,  I: 0.00 mA
[2025-07-10 14:20:01.562] Set: 39 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:01.758] Set: 47 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:01.967] Set: 65 V,  HV: 1 V,  I: -0.00 mA
[2025-07-10 14:20:02.169] Set: 53 V,  HV: 1 V,  I: -0.00 mA
[2025-07-10 14:20:02.369] Set: 60 V,  HV: 0 V,  I: -0.00 mA
[2025-07-10 14:20:02.575] Set: -11 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:02.775] Set: -4 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:02.976] Set: -9 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:03.177] Set: 60 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:03.374] Set: 73 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:20:03.582] Set: 85 V,  HV: 1 V,  I: -0.00 mA
[2025-07-10 14:20:03.784] Set: 23 V,  HV: 0 V,  I: -0.00 mA
[2025-07-10 14:20:03.984] Set: 27 V,  HV: 1 V,  I: 0.00 mA
[2025-07-10 14:20:04.188] Set: 21 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:20:04.391] Set: 16 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:04.594] Set: 11 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:04.794] Set: 21 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:20:04.998] Set: 88 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:20:05.196] Set: 87 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:05.400] Set: 89 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:05.601] Set: 18 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:05.807] Set: 12 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:20:06.007] Set: 16 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:20:06.207] Set: 26 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:06.413] Set: 34 V,  HV: -0 V,  I: 0.01 mA
[2025-07-10 14:20:06.611] Set: 30 V,  HV: 0 V,  I: 0.01 mA
[2025-07-10 14:20:06.816] Set: 73 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:07.017] Set: 80 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:07.218] Set: 67 V,  HV: 1 V,  I: -0.00 mA
[2025-07-10 14:20:07.424] Set: -13 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:20:07.624] Set: -13 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:07.824] Set: -12 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:08.024] Set: 57 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:08.230] Set: 65 V,  HV: 0 V,  I: 0.00 mA
