Time,Temperature (C)
18:27:23,28.0
18:27:25,28.0
18:27:26,28.0
18:27:28,28.0
18:27:29,28.0
18:27:31,28.0
18:27:32,28.0
18:27:34,28.0
18:27:35,28.0
18:27:37,28.0
18:27:39,28.0
18:27:40,28.0
18:27:42,28.0
18:27:43,28.0
18:27:45,28.0
18:27:46,28.0
18:27:48,28.0
18:27:49,28.0
18:27:51,28.0
18:27:53,28.0
18:27:54,28.0
18:27:56,28.0
18:27:57,28.0
18:27:59,28.0
18:28:01,28.0
18:28:02,28.0
18:28:04,28.0
18:28:05,28.0
18:28:07,28.0
18:28:08,28.0
18:28:09,28.0
18:28:11,28.0
18:28:12,28.0
18:28:14,28.0
18:28:16,28.0
18:28:17,28.0
18:28:19,28.0
18:28:20,28.0
18:28:22,28.0
18:28:23,28.0
18:28:25,28.0
18:28:26,28.0
18:28:28,28.0
18:28:29,27.9
18:28:32,28.0
18:28:34,27.9
18:28:35,27.9
18:28:37,27.9
18:28:38,28.0
18:28:40,27.9
18:28:41,27.9
18:28:43,27.9
18:28:45,27.9
18:28:46,27.9
18:28:48,27.9
18:28:49,27.9
18:28:51,27.9
18:28:52,27.9
18:28:54,27.9
18:28:55,27.9
18:28:57,27.9
18:28:58,27.9
18:29:00,27.9
18:29:02,27.9
18:29:03,27.9
18:29:05,27.9
18:29:06,27.9
18:29:08,27.9
18:29:10,27.9
18:29:11,27.9
18:29:13,27.9
18:29:15,27.9
18:29:16,27.9
18:29:18,27.9
18:29:20,27.9
18:29:21,27.9
18:29:23,27.9
18:29:24,27.9
18:29:25,27.9
18:29:27,27.9
18:29:29,27.9
18:29:30,27.9
18:29:32,27.9
18:29:34,27.9
18:29:35,27.9
18:29:37,27.9
18:29:38,27.9
18:29:40,27.9
18:29:41,27.9
18:29:44,27.9
18:29:46,27.9
18:29:48,27.9
18:29:49,27.9
18:29:51,27.9
18:29:52,27.9
18:29:54,27.9
18:29:55,27.9
18:29:57,27.9
18:29:59,27.9
18:30:00,27.9
18:30:02,27.9
18:30:03,27.9
18:30:05,27.9
18:30:06,27.9
18:30:08,27.9
18:30:09,28.0
18:30:11,28.0
18:30:12,28.0
18:30:14,28.0
18:30:15,28.0
18:30:17,28.0
18:30:19,28.0
18:30:20,28.0
18:30:21,28.0
18:30:23,28.0
18:30:25,28.0
18:30:26,28.0
18:30:27,28.0
18:30:29,28.0
18:30:30,28.0
18:30:32,28.0
18:30:34,28.0
18:30:35,28.0
18:30:37,28.0
18:30:38,28.0
18:30:40,28.0
18:30:42,28.0
18:30:45,28.0
18:30:46,28.0
18:30:48,28.0
18:30:49,28.0
18:30:51,28.0
18:30:52,28.0
18:30:53,28.0
18:30:55,28.0
18:30:56,28.0
18:30:58,28.0
18:30:59,28.0
18:31:01,28.0
18:31:02,28.0
18:31:04,28.0
18:31:05,28.0
18:31:07,28.0
18:31:08,28.0
18:31:10,28.0
18:31:11,28.0
18:31:13,28.0
18:31:14,28.0
18:31:15,28.0
18:31:17,28.0
18:31:19,28.0
18:31:20,28.0
18:31:22,28.0
18:31:23,28.0
18:31:25,28.0
18:31:26,28.0
18:31:28,28.0
18:31:29,28.0
18:31:30,28.0
18:31:32,28.0
18:31:35,28.0
18:31:36,28.0
18:31:38,28.0
18:31:40,28.0
18:31:41,28.0
18:31:42,28.0
18:31:44,28.0
18:31:45,28.0
18:31:47,28.0
18:31:48,28.0
18:31:50,28.0
18:31:51,28.0
18:31:53,28.0
18:31:54,28.0
18:31:55,28.0
18:31:58,28.0
18:32:00,28.0
18:32:01,28.0
18:32:03,28.0
18:32:04,28.0
18:32:06,28.0
18:32:07,28.0
18:32:09,28.0
18:32:11,28.0
18:32:12,28.0
18:32:14,28.0
18:32:16,28.0
18:32:17,28.0
18:32:18,28.0
18:32:20,28.0
18:32:21,28.0
18:32:23,28.0
18:32:24,28.0
18:32:26,27.9
18:32:28,28.0
18:32:29,27.9
18:32:31,28.0
18:32:32,27.9
18:32:34,27.9
18:32:35,27.9
18:32:36,27.9
18:32:38,27.9
18:32:39,27.9
18:32:40,27.9
18:32:42,27.9
18:32:43,27.9
18:32:45,27.9
18:32:46,27.9
18:32:47,27.9
18:32:49,27.9
18:32:52,27.9
18:32:54,27.9
18:32:55,27.9
18:32:57,27.9
18:32:58,27.9
18:32:59,27.9
18:33:01,27.9
18:33:02,27.9
18:33:04,27.9
18:33:06,27.9
18:33:07,27.9
18:33:10,27.9
18:33:11,27.9
18:33:13,27.9
18:33:15,27.9
18:33:16,27.9
18:33:17,27.9
18:33:19,27.9
18:33:20,27.9
18:33:22,27.9
18:33:23,27.9
18:33:25,27.9
18:33:26,28.0
18:33:28,28.0
18:33:29,28.0
18:33:30,28.0
18:33:31,28.0
18:33:32,28.0
18:33:34,28.0
18:33:35,28.0
18:33:36,28.0
18:33:37,28.0
18:33:39,28.0
18:33:40,28.0
18:33:41,28.0
18:33:42,28.0
18:33:44,28.0
18:33:45,28.0
18:33:46,28.0
18:33:48,28.0
18:33:49,28.0
18:33:50,28.0
18:33:51,28.0
18:33:54,28.0
18:33:56,28.0
18:33:57,28.0
18:33:59,28.0
18:34:01,28.0
18:34:02,28.0
18:34:04,28.0
18:34:05,28.0
18:34:06,28.0
