Time,Current (mA)
17:41:03.267000,3.33
17:41:03.468000,3.32
17:41:03.673000,3.06
17:41:03.869000,3.03
17:41:04.076000,3.06
17:41:04.275000,2.85
17:41:04.473000,2.89
17:41:04.665000,2.97
17:41:04.886000,3.37
17:41:05.084000,3.34
17:41:05.284000,3.39
17:41:05.485000,3.03
17:41:05.692000,3.03
17:41:05.893000,3.01
17:41:06.088000,2.93
17:41:06.301000,3.00
17:41:06.485000,2.97
17:41:06.703000,3.36
17:41:06.901000,3.32
17:41:07.101000,3.35
17:41:07.310000,2.94
17:41:07.498000,2.85
17:41:07.703000,2.88
17:41:07.916000,3.09
17:41:08.111000,3.06
17:41:08.311000,3.11
17:41:08.519000,3.23
17:41:08.717000,3.25
17:41:08.920000,3.21
17:41:09.128000,2.72
17:41:09.320000,2.73
17:41:09.522000,2.71
17:41:09.724000,3.15
17:41:09.933000,3.18
17:41:10.133000,3.16
17:41:10.337000,3.17
17:41:10.534000,3.12
17:41:10.734000,3.14
17:41:10.937000,2.84
17:41:11.134000,2.79
17:41:11.334000,2.85
17:41:11.550000,3.34
17:41:11.750000,3.32
17:41:11.951000,3.38
17:41:12.154000,3.05
17:41:12.351000,3.05
17:41:12.554000,3.03
17:41:12.760000,2.90
17:41:12.961000,2.97
17:41:13.159000,2.93
17:41:13.368000,3.39
17:41:13.570000,3.35
17:41:13.768000,3.36
17:41:13.969000,2.99
17:41:14.174000,2.91
17:41:14.368000,2.93
17:41:14.570000,3.07
17:41:14.770000,3.04
17:41:14.984000,3.09
17:41:15.187000,3.26
17:41:15.387000,3.28
17:41:15.588000,3.23
17:41:15.785000,2.72
17:41:15.987000,2.72
17:41:16.195000,2.73
17:41:16.400000,3.13
17:41:16.601000,3.16
17:41:16.801000,3.12
17:41:17.002000,3.19
17:41:17.206000,3.14
17:41:17.400000,3.18
17:41:17.612000,2.79
17:41:17.799000,2.75
17:41:18.013000,2.83
17:41:18.216000,3.31
17:41:18.416000,3.28
17:41:18.615000,3.34
17:41:18.814000,3.06
17:41:19.025000,3.06
17:41:19.222000,3.04
17:41:19.431000,2.88
17:41:19.615000,2.93
17:41:19.832000,2.90
17:41:20.037000,3.40
17:41:20.235000,3.35
17:41:20.435000,3.38
17:41:20.641000,2.88
17:41:20.843000,2.91
17:41:21.033000,2.83
