Time,PMON 1 (C),PMON_2 (C),PMON_3 (C),PMON_4 (C),PMON_5 (C),PMON_6 (C)
16:23:30,35.73,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:31,35.73,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:31,35.73,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:32,35.73,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:32,35.73,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:33,35.73,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:33,35.73,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:34,35.73,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:34,35.71,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:35,35.71,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:36,35.71,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:36,35.73,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:37,35.73,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:37,35.73,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:38,35.72,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:38,35.72,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:39,35.72,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:39,35.74,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:40,35.74,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:40,35.74,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:41,35.72,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:41,35.72,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:42,35.72,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:43,35.72,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:43,35.72,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:44,35.72,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:44,35.72,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
16:23:45,35.72,DISCONNECTED,23.75,22.71,25.07,DISCONNECTED
